qid,activity,exposure,dayofweek,response,endurance
61970428,5,36,5,1584.0,1584.0
61970587,1,410,5,,6038.0
61970535,3,366,5,1271.0,1664.0
61971270,2,229,5,1213.0,1213.0
61968799,1,355,5,25982.0,30576.000000000004
61970189,2,30,5,591597.0,591597.0
61970851,2,12,5,709.0,709.0
61971516,2,195,5,709.0,2591.0
61971488,1,147,5,1799.0,1799.0
61972657,1,118,5,701.0,3817.0000000000005
61971715,2,40,5,2749.0,2749.0
61972080,6,584,5,1839.0000000000002,3077.0
61973763,1,34,5,,0.0
61973000,1,61,5,,1226204.0
61973257,1,122,5,243173.00000000003,243173.00000000003
61974466,1,47,5,276.0,276.0
61974075,2,285,5,,0.0
61976323,2,518,5,1334.0,28747.0
61974150,0,385,5,,75367.0
61975854,1,17,5,1073.0,1073.0
61977887,0,25,5,,25696.0
61977282,1,98,5,4554.0,4857.0
61975489,1,39,5,3830.0000000000005,3830.0000000000005
61977392,3,103,5,704.0,841527.0
61977974,1,169,5,4925.0,4925.0
61978829,2,303,5,11330.0,11330.0
61978865,1,28,5,590.0,590.0
61980441,1,165,6,774.0,4726.0
61980485,0,32,6,,28897.0
61979844,1,199,5,,0.0
61980888,0,126,6,,0.0
62014422,1,302,1,511244.00000000006,511244.00000000006
61981990,1,45,6,25373.0,25373.0
61981916,5,108,6,811687.0,39838153.0
61984968,2,32,6,751.0,175335.0
61985843,3,1000,6,632338.0,638176.0
61981782,1,233,6,2519.0,2519.0
61985075,0,23,6,,0.0
61986016,1,19,6,2121.0,2121.0
61986184,3,112,6,16974.0,16974.0
61987024,3,584,6,57142.0,57926.0
61987025,2,136,6,518.0,18714.0
61986469,2,50,6,3284.0,3284.0
61987188,0,30,6,,0.0
61987246,2,158,6,241613.00000000003,12882592.0
62124400,2,495,0,,14324.0
61988281,1,226,6,19249.0,19622.0
61989427,0,141,6,,0.0
61988989,0,21,6,,0.0
61987083,0,1000,6,,0.0
61989913,1,2000,6,19239845.0,19239845.0
61988710,2,36,6,10534.0,14802547.0
61988664,3,926,6,877.0,1659.0
61990134,1,75,6,,0.0
61991096,0,56,6,,68267.0
61992739,1,497,6,51649.0,51649.0
61992748,1,78,6,,43653.0
61992960,1,456,6,87109.0,87109.0
61993101,1,74,6,10638.0,938037.0000000001
61993427,0,40,6,,170421.0
61994158,2,67,0,31706.000000000004,132078.0
61993368,0,51,6,,0.0
61994126,6,166,0,729.0,729.0
61994420,1,43,0,8657.0,8657.0
61992935,4,643,6,9647.0,6719126.0
61996139,0,20,0,,961.0000000000001
61995485,0,51,0,,0.0
62016183,8,4000,1,16700.0,34369540.0
61995347,0,71,0,,4421.0
62016537,1,1000,1,8340.0,8340.0
62017025,0,45,1,,0.0
62018344,1,274,1,32143875.000000004,32143875.000000004
62017032,0,32,1,,0.0
62019242,3,760,1,378.0,277631.0
62020704,2,139,1,93471.0,40429364.0
62021232,1,38,1,19294.0,19294.0
62022029,2,33,1,3478.0,3478.0
62024324,3,85,1,7997.000000000001,13125.0
62023858,3,624,1,86492.0,87521.0
62023322,1,71,1,,0.0
62024351,2,149,1,,1171.0
62023986,2,35,1,57490.0,57490.0
62021665,4,29,1,9580.0,10106.0
62024517,3,209,1,5321.0,33371449.000000004
62026675,3,305,1,99570.0,233989.00000000003
62026729,1,38,1,1180509.0,1180509.0
62026757,1,141,1,,0.0
62027371,2,63,1,1294.0,1294.0
62027601,1,727,1,940.0000000000001,6569.0
61992662,1,898,6,5445451.0,5445451.0
62028300,4,264,1,527.0,19524.0
62030578,1,352,1,256615.00000000003,256615.00000000003
62030096,1,163,1,12379.0,12379.0
62030013,5,488,1,56653.0,12120740.0
62031234,0,25,1,,0.0
62032746,1,126,1,157857.0,157857.0
62032306,1,279,1,6891442.0,6891513.0
62033507,0,48,2,,1052.0
62033769,0,44,2,,0.0
62035182,3,14,2,73742.0,73742.0
62034219,1,173,2,308.0,308.0
62035682,1,175,2,63970.00000000001,63970.00000000001
62036665,3,435,2,8581.0,8966.0
62028792,2,47,1,258218.00000000003,258218.00000000003
62036325,0,35,2,,0.0
62036772,0,807,2,,163854.0
62031122,1,60,1,150.0,321.0
62036845,1,211,2,27520.0,27520.0
62038140,2,95,2,1213.0,1213.0
62026239,1,116,1,291.0,3142.0
62038480,2,94,2,8356.0,8356.0
62039226,9,75,2,1562.0,22095.0
62039358,1,247,2,4590.0,4590.0
62039716,3,573,2,5181.0,73580.0
62039599,2,499,2,7308.000000000001,15225532.000000002
62039905,0,402,2,,0.0
62150936,0,157,1,,23717.0
62039931,1,24,2,168133.0,168133.0
62150710,1,357,1,458.00000000000006,458.00000000000006
62151308,1,120,1,360932.0,360932.0
62151410,2,22,1,26684.0,165315.0
62033921,1,17,2,147.0,147.0
62152521,1,155,1,,373.0
62152797,1,190,1,106034.0,106034.0
62153785,6,981,1,6322.0,22578.0
62154390,1,22,1,2778.0,2778.0
62154192,1,507,1,2601.0,2601.0
62155623,0,91,1,,0.0
62154776,4,304,1,68476.0,151812.0
62155415,0,25,1,,0.0
